CÓDIGO	LARGURA	COMPRIMENTO	BITOLA	CLASSE	ESPECIFICAÇÃO	QUALIDADE	ITEM	PEÇA (M3)	PEÇA (PLT)	SITUAÇÃO
ACB0382	0,898	2,500	12	TABLEROS PLY	COMBI EUCA FACE	 - SG	TABLEROS PLY 12MM COMBI EUCA FACE 0,898 X 2,500 - SG	0,02694000	85,0000	ATIVO
ACB0132	0,898	2,500	12	TABLEROS PLY	COMBI PINE FACE	 - BG	TABLEROS PLY 12MM COMBI PINE FACE 0,898 X 2,500 - BG	0,02694000	85,0000	ATIVO
ACB0681	1,200	2,400	12	TABLEROS PLY		 - BG	TABLEROS PLY 12MM 1,200 X 2,400 - BG	0,03456000	75,0000	ATIVO
ACB0666	1,250	2,500	12	TABLEROS PLY ANTIDERRAPANTE	7 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,250 X 2,500 X 12mm 7ply - 1ª PERMUTA	0,03750000	75,0000	ATIVO
ACB0820	1,220	2,440	15	TABLEROS PLY ANTIDERRAPANTE	7 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,220 X 2,440 X 15mm 7ply - 1ª PERMUTA	0,04465200	60,0000	ATIVO
ACB0364	1,100	2,200	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,100 X 2,200 X 15mm 7ply - 1ª PERMUTA	0,03630000	60,0000	ATIVO
ACB0908	1,200	2,400	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,200 X 2,400 X 15mm 7ply - 1ª PERMUTA	0,04320000	60,0000	ATIVO
ACB0286	1,250	2,500	30	TABLEROS PLY PLASTIFICADO	13 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 30mm 13ply - 1ª PERMUTA	0,09375000	30,0000	ATIVO
ACB0147	1,220	2,440	30	TABLEROS PLY PLASTIFICADO	13 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 30mm 13ply - 1ª PERMUTA	0,08930400	30,0000	ATIVO
ACB0873	1,250	2,500	15	TABLEROS PLY		 - SG	TABLEROS PLY 15MM 1,250 X 2,500 - SG	0,04687500	60,0000	ATIVO
ACB0616	1,220	2,440	12	TABLEROS PLY ANTIDERRAPANTE	7 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,220 X 2,440 X 12mm 7ply - 1ª PERMUTA	0,03572160	60,0000	ATIVO
ACB0288	1,100	2,200	21	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,100 X 2,200 X 21mm 11ply - 1ª PERMUTA	0,05082000	43,0000	ATIVO
ACB1019	1,250	2,500	30	TABLEROS PLY PLASTIFICADO	13 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 30mm 13ply - 2ª QUALIDADE	0,09375000	30,0000	ATIVO
ACB0307	1,100	2,200	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,100 X 2,200 X 15mm 7ply - 2ª QUALIDADE	0,03630000	60,0000	ATIVO
ACB1020	1,100	2,200	18	TABLEROS PLY PLASTIFICADO	9 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,100 X 2,200 X 18mm 9ply - 3ª QUALIDADE	0,04356000	60,0000	ATIVO
ACB0358	1,220	2,440	30	TABLEROS PLY PLASTIFICADO	13 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 30mm 13ply - 2ª QUALIDADE	0,08930400	30,0000	ATIVO
ACB0077	1,200	2,400	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,200 X 2,400 X 15mm 7ply - 2ª QUALIDADE	0,04320000	60,0000	ATIVO
ACB0891	1,100	2,200	12	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,100 X 2,200 X 12mm 7ply - 3ª QUALIDADE	0,02904000	60,0000	ATIVO
ACB0344	1,100	2,200	21	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,100 X 2,200 X 21mm 11ply - 3ª QUALIDADE	0,05082000	43,0000	ATIVO
ACB2015	1,100	2,200	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,100 X 2,200 X 15mm 7ply - 3ª QUALIDADE	0,03630000	60,0000	ATIVO
ACB0298	1,200	2,400	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,200 X 2,400 X 15mm 7ply - 3ª QUALIDADE	0,04320000	60,0000	ATIVO
ACB0082	1,100	2,200	18	TABLEROS PLY PLASTIFICADO	9 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,100 X 2,200 X 18mm 9ply - 2ª QUALIDADE	0,04356000	50,0000	ATIVO
ACB0929	1,220	2,440	30	TABLEROS PLY PLASTIFICADO	13 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 30mm 13ply - 3ª QUALIDADE	0,08930400	30,0000	ATIVO
ACB0370	1,100	2,200	12	TABLEROS PLY ANTIDERRAPANTE	5 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,100 X 2,200 X 12mm 5ply - 3ª QUALIDADE	0,02904000	75,0000	ATIVO
ACB0930	1,100	2,200	15	TABLEROS PLY ANTIDERRAPANTE	5 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,100 X 2,200 X 15mm 5ply - 3ª QUALIDADE	0,03630000	75,0000	ATIVO
ACB0931	1,250	2,500	12	TABLEROS PLY ANTIDERRAPANTE	5 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,250 X 2,500 X 12mm 5ply - 3ª QUALIDADE	0,03750000	75,0000	ATIVO
ACB0932	1,250	2,500	9	TABLEROS PLY ANTIDERRAPANTE	5 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,250 X 2,500 X 09mm 5ply - 2ª QUALIDADE	0,02812500	75,0000	ATIVO
ACB2002	1,250	2,500	12	TABLEROS PLY ANTIDERRAPANTE	5 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,250 X 2,500 X 12mm 5ply - 2ª QUALIDADE	0,03750000	75,0000	ATIVO
ACB0588	1,220	2,440	15	TABLEROS PLY ANTIDERRAPANTE	5 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,220 X 2,440 X 15mm 5ply - 2ª QUALIDADE	0,04465200	60,0000	ATIVO
ACB0903	0,618	2,400	15	TABLEROS PLY	6 PLY EUCA C+/C CE2+ FSC ERGO SHIPLAP		TABLEROS PLY 15MM 6 PLY EUCA C+/C CE2+ FSC ERGO SHIPLAP 0,618 X 2,400	0,02224800	68,0000	ATIVO
ACB0404	1,220	2,440	12	TABLEROS PLY	5 PLY C+/C+		TABLEROS PLY 12MM 5 PLY C+/C+ 1,220 X 2,440	0,03572160	75,0000	ATIVO
ACB0168	1,200	2,400	12	TABLEROS PLY		 - SG	TABLEROS PLY 12MM 1,200 X 2,400 - SG	0,03456000	75,0000	ATIVO
ACB0933	1,220	2,440	22	TABLEROS PLY	11 PLY EUCA C+/C CE4		TABLEROS PLY 22MM 11 PLY EUCA C+/C CE4 1,220 X 2,440	0,06548960	36,0000	ATIVO
ACB0934	1,220	2,440	12	TABLEROS PLY ANTIDERRAPANTE	5 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,220 X 2,440 X 12mm 5ply - 2ª QUALIDADE	0,03572160		ATIVO
ACB0935	0,898	2,500	12	TABLEROS PLY	6 PLY	 - BG	TABLEROS PLY 12MM 6 PLY 0,898 X 2,500 - BG	0,02694000	75,0000	ATIVO
ACB0936	0,898	2,500	15	TABLEROS PLY	6 PLY	 - BG	TABLEROS PLY 15MM 6 PLY 0,898 X 2,500 - BG	0,03367500	75,0000	ATIVO
ACB0927	1,220	2,440	18	TABLEROS PLY	9 PLY COMBI C+/C T&G CE2+		TABLEROS PLY 18MM 9 PLY COMBI C+/C T&G CE2+ 1,220 X 2,440	0,05358240	50,0000	ATIVO
ACB0937	1,100	2,200	18	TABLEROS PLY ANTIDERRAPANTE	9 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,100 X 2,200 X 18mm 9ply - 1ª PERMUTA	0,04356000	75,0000	ATIVO
ACB0564	1,200	2,500	15	TABLEROS PLY	5 PLY C+/C		TABLEROS PLY 15MM 5 PLY C+/C 1,200 X 2,500	0,04500000	60,0000	ATIVO
ACB0938	0,898	2,500	12	TABLEROS PLY	6 PLY C+/C		TABLEROS PLY 12MM 6 PLY C+/C 0,898 X 2,500	0,02694000	85,0000	ATIVO
ACB0939	0,898	2,500	15	TABLEROS PLY	6 PLY C+/C		TABLEROS PLY 15MM 6 PLY C+/C 0,898 X 2,500	0,03367500	85,0000	ATIVO
ACB0833	1,220	2,440	18	TABLEROS PLY	7 PLY C+/C T&G CE2+ CARB FSC		TABLEROS PLY 18MM 7 PLY C+/C T&G CE2+ CARB FSC 1,220 X 2,440	0,05358240	50,0000	ATIVO
ACB0940	1,220	2,440	18	TABLEROS PLY ANTIDERRAPANTE	9 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,220 X 2,440 X 18mm 9ply - 2ª QUALIDADE	0,05358240	50,0000	ATIVO
ACB0941	1,250	2,500	18	TABLEROS PLY ANTIDERRAPANTE	9 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,250 X 2,500 X 18mm 9ply - 2ª QUALIDADE	0,05625000	50,0000	ATIVO
ACB042	1,250	2,500	15	TABLEROS PLY	EUCA	 - SG	TABLEROS PLY 15MM EUCA 1,250 X 2,500 - SG	0,04687500	60,0000	ATIVO
ACB0356	1,250	2,500	15	TABLEROS PLY	EUCA	 - BG	TABLEROS PLY 15MM EUCA 1,250 X 2,500 - BG	0,04687500	60,0000	ATIVO
ACB0942	1,250	2,500	40	TABLEROS PLY		 - BG	TABLEROS PLY 40MM 1,250 X 2,500 - BG	0,12500000	24,0000	ATIVO
ACB0943	1,200	2,400	18	TABLEROS PLY		 - BG	TABLEROS PLY 18MM 1,200 X 2,400 - BG	0,05184000	50,0000	ATIVO
ACB0438	1,200	2,400	12	TABLEROS PLY	5 PLY C+/C		TABLEROS PLY 12MM 5 PLY C+/C 1,200 X 2,400	0,03456000	50,0000	ATIVO
ACB0944	1,200	2,400	18	TABLEROS PLY	9 PLY COMBI	 - SG	TABLEROS PLY 18MM 9 PLY COMBI 1,200 X 2,400 - SG	0,05184000	50,0000	ATIVO
ACB0945	1,220	2,400	18	TABLEROS PLY	9 PLY T&G	 - BG	TABLEROS PLY 18MM 9 PLY T&G 1,220 X 2,400 - BG	0,05270400	50,0000	ATIVO
ACB0694	0,618	2,400	15	TABLEROS PLY	6 PLY PINE C+/C ERGO SHIPLAP CE2+ FSC		TABLEROS PLY 15MM 6 PLY PINE C+/C ERGO SHIPLAP CE2+ FSC 0,618 X 2,400	0,02224800	60,0000	ATIVO
ACB0946	0,898	2,500	15	TABLEROS PLY		 - SG	TABLEROS PLY 15MM 0,898 X 2,500 - SG	0,03367500	60,0000	ATIVO
ACB0947	0,898	2,500	15	TABLEROS PLY	COMBI	 - SG	TABLEROS PLY 15MM COMBI 0,898 X 2,500 - SG	0,03367500	60,0000	ATIVO
ACB0948	0,898	2,500	12	TABLEROS PLY		 - SG	TABLEROS PLY 12MM 0,898 X 2,500 - SG	0,02694000	60,0000	ATIVO
ACB0949	0,898	2,500	12	TABLEROS PLY	COMBI	 - SG	TABLEROS PLY 12MM COMBI 0,898 X 2,500 - SG	0,02694000	60,0000	ATIVO
ACB0965	1,220	2,440	18	TABLEROS PLY	7 PLY T&G	 - SG	TABLEROS PLY 18MM 7 PLY T&G 1,220 X 2,440 - SG	0,05358240	50,0000	ATIVO
ACB0693	0,618	2,400	12	TABLEROS PLY	6 PLY C+/C T&G2 ERGO STYLE CE2+ FSC		TABLEROS PLY 12MM 6 PLY C+/C T&G2 ERGO STYLE CE2+ FSC 0,618 X 2,400	0,01779840	75,0000	ATIVO
ACB0562	0,618	2,400	15	TABLEROS PLY	5 PLY COMBI PINE FACE C+/C T&G2 ERGO SHIPLAP CE2+ FSC		TABLEROS PLY 15MM 5 PLY COMBI PINE FACE C+/C T&G2 ERGO SHIPLAP CE2+ FSC 0,618 X 2,400	0,02224800	68,0000	ATIVO
ACB0950	1,200	2,400	18	TABLEROS PLY PLASTIFICADO	9 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,200 X 2,400 X 18mm 9ply - 2ª QUALIDADE	0,05184000	50,0000	ATIVO
ACB0951	1,250	2,500	15	TABLEROS PLY ANTIDERRAPANTE	7 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY ANTIDERRAPANTE COMBI WBP E1 1,250 X 2,500 X 15mm 7ply - 2ª QUALIDADE	0,04687500	60,0000	ATIVO
ACB0952	1,100	2,200	30	TABLEROS PLY PLASTIFICADO	13 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,100 X 2,200 X 30mm 13ply - 2ª QUALIDADE	0,07260000	50,0000	ATIVO
ACB0953	1,220	2,440	12	TABLEROS PLY	6 PLY C+/C+		TABLEROS PLY 12MM 6 PLY C+/C+ 1,220 X 2,440	0,03572160	75,0000	ATIVO
ACB0758	0,590	2,440	18	TABLEROS PLY	7 PLY B/C T&G4 CE2+ CARB FSC		TABLEROS PLY 18MM 7 PLY B/C T&G4 CE2+ CARB FSC 0,590 X 2,440	0,02591280	50,0000	ATIVO
ACB0590	0,590	2,440	21	TABLEROS PLY	7 PLY B/C T&G4 CE2+ CARB FSC		TABLEROS PLY 21MM 7 PLY B/C T&G4 CE2+ CARB FSC 0,590 X 2,440	0,03023160	86,0000	ATIVO
ACB0591	0,590	2,440	12	TABLEROS PLY	5 PLY B/C T&G4 CE2+ CARB FSC		TABLEROS PLY 12MM 5 PLY B/C T&G4 CE2+ CARB FSC 0,590 X 2,440	0,01727520	150,0000	ATIVO
ACB0110	0,590	2,440	12	TABLEROS PLY	5 PLY C+/C T&G4 CE2+ CARB FSC		TABLEROS PLY 12MM 5 PLY C+/C T&G4 CE2+ CARB FSC 0,590 X 2,440	0,01727520	150,0000	ATIVO
ACB0300	1,220	2,440	18	TABLEROS PLY	7 PLY C+/C T&G4 CE2+ CARB FSC		TABLEROS PLY 18MM 7 PLY C+/C T&G4 CE2+ CARB FSC 1,220 X 2,440	0,05358240	50,0000	ATIVO
ACB0060	1,200	2,500	18	TABLEROS PLY	7 PLY C+/C CE2+ FSC		TABLEROS PLY 18MM 7 PLY C+/C CE2+ FSC 1,200 X 2,500	0,05400000	50,0000	ATIVO
ACB0163	1,200	2,500	21	TABLEROS PLY	9 PLY C+/C CE2+ FSC		TABLEROS PLY 21MM 9 PLY C+/C CE2+ FSC 1,200 X 2,500	0,06300000	42,0000	ATIVO
ACB0954	0,618	2,400	15	TABLEROS PLY	6 PLY COMBI C+/C ERGO SHIPLAP CE2+ FSC		TABLEROS PLY 15MM 6 PLY COMBI C+/C ERGO SHIPLAP CE2+ FSC 0,618 X 2,400	0,02224800	60,0000	ATIVO
ACB0955	0,500	2,400	12	TABLEROS PLY	T&G2	 - BG	TABLEROS PLY 12MM T&G2 0,500 X 2,400 - BG	0,01440000	85,0000	ATIVO
ACB0543	1,200	1,200	12	TABLEROS PLY	5 PLY EUCA C+/C+ OES CE2+ FSC 		TABLEROS PLY 12MM 5 PLY EUCA C+/C+ OES CE2+ FSC  1,200 X 1,200	0,01728000	75,0000	ATIVO
ACB2041	1,250	2,500	9	TABLEROS PLY	5 PLY 100% EUCA B/C+ CE2+ CARB2 FSC		TABLEROS PLY 9MM 5 PLY 100% EUCA B/C+ CE2+ CARB2 FSC 1,250 X 2,500	0,02812500	100,0000	ATIVO
ACB0215	1,250	2,500	12	TABLEROS PLY	7 PLY 100% EUCA B/C+ CE2+ CARB2 FSC		TABLEROS PLY 12MM 7 PLY 100% EUCA B/C+ CE2+ CARB2 FSC 1,250 X 2,500	0,03750000	75,0000	ATIVO
ACB0265	1,250	2,500	15	TABLEROS PLY	7 PLY 100% EUCA B/C+ CE2+ CARB2 FSC		TABLEROS PLY 15MM 7 PLY 100% EUCA B/C+ CE2+ CARB2 FSC 1,250 X 2,500	0,04687500	60,0000	ATIVO
ACB0228	1,250	2,500	18	TABLEROS PLY	9 PLY 100% EUCA B/C+ CE2+ CARB2 FSC		TABLEROS PLY 18MM 9 PLY 100% EUCA B/C+ CE2+ CARB2 FSC 1,250 X 2,500	0,05625000	50,0000	ATIVO
ACB0237	1,250	2,500	21	TABLEROS PLY	11 PLY 100% EUCA B/C+ CE2+ CARB2 FSC		TABLEROS PLY 21MM 11 PLY 100% EUCA B/C+ CE2+ CARB2 FSC 1,250 X 2,500	0,06562500	43,0000	ATIVO
ACB0724	1,250	2,500	24	TABLEROS PLY	13 PLY 100% EUCA B/C+ CE2+ CARB2 FSC		TABLEROS PLY 24MM 13 PLY 100% EUCA B/C+ CE2+ CARB2 FSC 1,250 X 2,500	0,07500000	40,0000	ATIVO
ACB0366	1,250	2,500	30	TABLEROS PLY	15 PLY 100% EUCA B/C+ CE2+ CARB2 FSC		TABLEROS PLY 30MM 15 PLY 100% EUCA B/C+ CE2+ CARB2 FSC 1,250 X 2,500	0,09375000	35,0000	ATIVO
ACB0425	0,290	2,400	12	TABLEROS PLY	T&G	 - BG	TABLEROS PLY 12MM T&G 0,290 X 2,400 - BG	0,00835200	85,0000	ATIVO
ACB0304	0,300	2,400	12	TABLEROS PLY	T&G	 - BG	TABLEROS PLY 12MM T&G 0,300 X 2,400 - BG	0,00864000	85,0000	ATIVO
ACB0051	0,400	2,400	12	TABLEROS PLY	T&G	 - BG	TABLEROS PLY 12MM T&G 0,400 X 2,400 - BG	0,01152000	85,0000	ATIVO
ACB0396	0,590	2,440	12	TABLEROS PLY	T&G	 - BG	TABLEROS PLY 12MM T&G 0,590 X 2,440 - BG	0,01727520	85,0000	ATIVO
ACB0695	0,590	2,440	15	TABLEROS PLY	T&G	 - BG	TABLEROS PLY 15MM T&G 0,590 X 2,440 - BG	0,02159400	68,0000	ATIVO
ACB0140	0,600	2,440	12	TABLEROS PLY	T&G	 - BG	TABLEROS PLY 12MM T&G 0,600 X 2,440 - BG	0,01756800	85,0000	ATIVO
ACB0676	0,618	2,400	12	TABLEROS PLY		 - BG	TABLEROS PLY 12MM 0,618 X 2,400 - BG	0,01779840	75,0000	ATIVO
ACB0467	0,618	2,400	15	TABLEROS PLY		 - BG	TABLEROS PLY 15MM 0,618 X 2,400 - BG	0,02224800	60,0000	ATIVO
ACB0165	0,600	2,400	18	TABLEROS PLY	T&G	 - BG	TABLEROS PLY 18MM T&G 0,600 X 2,400 - BG	0,02592000	50,0000	ATIVO
ACB0167	0,600	2,400	12	TABLEROS PLY	T&G	 - BG	TABLEROS PLY 12MM T&G 0,600 X 2,400 - BG	0,01728000	75,0000	ATIVO
ACB0525	1,220	2,440	18	TABLEROS PLY	7 PLY C+/C		TABLEROS PLY 18MM 7 PLY C+/C 1,220 X 2,440	0,05358240	50,0000	ATIVO
ACB0956	1,250	2,500	18	TABLEROS PLY	7 PLY EUCA B/C+		TABLEROS PLY 18MM 7 PLY EUCA B/C+ 1,250 X 2,500	0,05625000	50,0000	ATIVO
ACB0064	1,220	2,440	20	TABLEROS PLY	7 PLY	 - BG	TABLEROS PLY 20MM 7 PLY 1,220 X 2,440 - BG	0,05953600	50,0000	ATIVO
ACB0309	1,220	2,440	17	TABLEROS PLY	7 PLY	 - BG	TABLEROS PLY 17MM 7 PLY 1,220 X 2,440 - BG	0,05060560	50,0000	ATIVO
ACB0756	0,600	2,440	18	TABLEROS PLY	7 PLY B/C+ T&G4 CE2+ FSC		TABLEROS PLY 18MM 7 PLY B/C+ T&G4 CE2+ FSC 0,600 X 2,440	0,02635200	50,0000	ATIVO
ACB0176	0,600	2,440	21	TABLEROS PLY	7 PLY B/C+ T&G4 CE2+ FSC		TABLEROS PLY 21MM 7 PLY B/C+ T&G4 CE2+ FSC 0,600 X 2,440	0,03074400	42,0000	ATIVO
ACB0011	1,220	2,440	16	TABLEROS PLY		 - BG	TABLEROS PLY 16MM 1,220 X 2,440 - BG	0,04762880	50,0000	ATIVO
ACB0070	1,100	2,200	18	TABLEROS PLY		 - BG	TABLEROS PLY 18MM 1,100 X 2,200 - BG	0,04356000	50,0000	ATIVO
ACB0282	1,250	2,500	9	TABLEROS PLY	5 PLY C+/C CE2+ FSC		TABLEROS PLY 9MM 5 PLY C+/C CE2+ FSC 1,250 X 2,500	0,02812500	100,0000	ATIVO
ACB0097	1,200	2,400	9	TABLEROS PLY	5 PLY C+/C CE2+ FSC AMOSTRA		TABLEROS PLY 9MM 5 PLY C+/C CE2+ FSC AMOSTRA 1,200 X 2,400	0,02592000	100,0000	ATIVO
ACB0084	0,300	2,400	15	TABLEROS PLY	5 PLY C+/C T&G4 ERGOBOARD CE2+ FSC 		TABLEROS PLY 15MM 5 PLY C+/C T&G4 ERGOBOARD CE2+ FSC  0,300 X 2,400	0,01080000	68,0000	ATIVO
ACB0393	0,300	2,400	18	TABLEROS PLY	7 PLY C+/C T&G4 ERGOBOARD CE2+ FSC 		TABLEROS PLY 18MM 7 PLY C+/C T&G4 ERGOBOARD CE2+ FSC  0,300 X 2,400	0,01296000	50,0000	ATIVO
ACB0859	0,300	2,400	12	TABLEROS PLY	5 PLY C+/C T&G4 ERGOBOARD CE2+ FSC 		TABLEROS PLY 12MM 5 PLY C+/C T&G4 ERGOBOARD CE2+ FSC  0,300 X 2,400	0,00864000	85,0000	ATIVO
ACB0875	1,220	2,440	21	TABLEROS PLY	7 PLY C+/C T&G CE2+ CARB FSC		TABLEROS PLY 21MM 7 PLY C+/C T&G CE2+ CARB FSC 1,220 X 2,440	0,06251280		ATIVO
ACB0523	1,200	1,200	12	TABLEROS PLY	5 PLY C+/C+ OES CE2+ FSC		TABLEROS PLY 12MM 5 PLY C+/C+ OES CE2+ FSC 1,200 X 1,200	0,01728000		ATIVO
ACB0894	1,220	2,440	21	TABLEROS PLY		 - SG	TABLEROS PLY 21MM 1,220 X 2,440 - SG	0,06251280	42,0000	ATIVO
ACB0068	1,220	2,440	15	TABLEROS PLY MESH FILM	7 PLY COMBI PINE FACE CE2+ FSC		TABLEROS PLY MESH FILM 15MM 7 PLY COMBI PINE FACE CE2+ FSC 1,220 X 2,440	0,04465200	60,0000	ATIVO
ACB0017	1,220	2,440	18	TABLEROS PLY MESH FILM	9 PLY COMBI PINE FACE CE2+ FSC		TABLEROS PLY MESH FILM 18MM 9 PLY COMBI PINE FACE CE2+ FSC 1,220 X 2,440	0,05358240	50,0000	ATIVO
ACB0484	1,220	2,440	21	TABLEROS PLY MESH FILM	9 PLY COMBI PINE FACE CE2+ FSC		TABLEROS PLY MESH FILM 21MM 9 PLY COMBI PINE FACE CE2+ FSC 1,220 X 2,440	0,06251280	42,0000	ATIVO
ACB0542	1,220	2,440	12	TABLEROS PLY MESH FILM	7 PLY COMBI PINE FACE CE2+ FSC		TABLEROS PLY MESH FILM 12MM 7 PLY COMBI PINE FACE CE2+ FSC 1,220 X 2,440	0,03572160	75,0000	ATIVO
ACB0920	1,220	2,440	9	TABLEROS PLY	5 PLY C+/C CARB FSC		TABLEROS PLY 9MM 5 PLY C+/C CARB FSC 1,220 X 2,440	0,02679120	100,0000	ATIVO
ACB0541	1,220	2,440	18	TABLEROS PLY	7 PLY C+/C CARB FSC		TABLEROS PLY 18MM 7 PLY C+/C CARB FSC 1,220 X 2,440	0,05358240	50,0000	ATIVO
ACB0019	1,220	2,440	12	TABLEROS PLY	5 PLY C+/C CARB FSC		TABLEROS PLY 12MM 5 PLY C+/C CARB FSC 1,220 X 2,440	0,03572160	75,0000	ATIVO
ACB0862	0,898	2,500	12	TABLEROS PLY	6 PLY PINE C+/C CE2+ FSC		TABLEROS PLY 12MM 6 PLY PINE C+/C CE2+ FSC 0,898 X 2,500	0,02694000	75,0000	ATIVO
ACB0864	0,898	2,500	15	TABLEROS PLY	6 PLY PINE C+/C CE2+ FSC		TABLEROS PLY 15MM 6 PLY PINE C+/C CE2+ FSC 0,898 X 2,500	0,03367500	60,0000	ATIVO
ACB0688	1,220	2,440	18	TABLEROS PLY PLASTIFICADO	9 PLY COMBI WBP E1		TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 18mm 9ply	0,05358240	50,0000	ATIVO
ACB0957	1,250	2,500	15	TABLEROS PLY FILM FACED	6 PLY COMBI 		TABLEROS PLY FILM FACED 15MM 6 PLY COMBI  1,250 X 2,500	0,04687500	60,0000	ATIVO
ACB0958	1,200	2,400	15	TABLEROS PLY FILM FACED	6 PLY COMBI 		TABLEROS PLY FILM FACED 15MM 6 PLY COMBI  1,200 X 2,400	0,04320000	60,0000	ATIVO
ACB0913	1,220	2,440	18	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1		TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 18mm 7ply	0,05358240	50,0000	ATIVO
ACB0431	1,220	2,440	18	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 18mm 7ply - 1ª PERMUTA	0,05358240	50,0000	ATIVO
ACB0430	1,220	2,440	18	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 18mm 7ply - 2ª QUALIDADE	0,05358240	50,0000	ATIVO
ACB0914	1,220	2,440	18	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 18mm 7ply - 3ª QUALIDADE	0,05358240	50,0000	ATIVO
