CÓDIGO	LARGURA	COMPRIMENTO	BITOLA	CLASSE	ESPECIFICAÇÃO	QUALIDADE	ITEM	PEÇA (M3)	PEÇA (PLT)	SITUAÇÃO
ACB1050	1,220	2,440	24	TABLEROS PLY	11 PLY COMBI C+/C CE4		TABLEROS PLY 24MM 11 PLY COMBI C+/C CE4 1,220 X 2,440	0,07144320	38,0000	ATIVO
ACB0204	1,200	2,400	12	TABLEROS PLY	5 PLY C+/C T&G2 CE2+ FSC		TABLEROS PLY 12MM 5 PLY C+/C T&G2 CE2+ FSC 1,200 X 2,400	0,03456000	35,0000	ATIVO
ACB0312	1,200	2,400	18	TABLEROS PLY	7 PLY C+/C T&G2 CE2+ FSC		TABLEROS PLY 18MM 7 PLY C+/C T&G2 CE2+ FSC 1,200 X 2,400	0,05184000	25,0000	ATIVO
ACB0205	1,200	2,400	15	TABLEROS PLY	6 PLY C+/C T&G2 CE2+ FSC		TABLEROS PLY 15MM 6 PLY C+/C T&G2 CE2+ FSC 1,200 X 2,400	0,04320000	30,0000	ATIVO
ACB0556	1,220	2,440	18	TABLEROS PLY MESH FILM	9 PLY COMBI EUCA FACE CE2+ FSC		TABLEROS PLY MESH FILM 18MM 9 PLY COMBI EUCA FACE CE2+ FSC 1,220 X 2,440	0,05358240	50,0000	ATIVO
ACB0773	1,250	2,500	15	TABLEROS PLY MESH FILM	7 PLY COMBI EUCA FACE CE2+ FSC		TABLEROS PLY MESH FILM 15MM 7 PLY COMBI EUCA FACE CE2+ FSC 1,250 X 2,500	0,04687500	60,0000	ATIVO
ACB0578	1,220	2,440	12	TABLEROS PLY MESH FILM	7 PLY COMBI EUCA FACE CE2+ FSC		TABLEROS PLY MESH FILM 12MM 7 PLY COMBI EUCA FACE CE2+ FSC 1,220 X 2,440	0,03572160	75,0000	ATIVO
ACB0804	1,220	2,440	15	TABLEROS PLY	COMBI	 - BG	TABLEROS PLY 15MM COMBI 1,220 X 2,440 - BG	0,04465200	60,0000	ATIVO
ACB0847	1,215	2,400	15	TABLEROS PLY	COMBI	 - BG	TABLEROS PLY 15MM COMBI 1,215 X 2,400 - BG	0,04374000	60,0000	ATIVO
ACB1030	1,220	2,440	21	TABLEROS PLY	COMBI	 - BG	TABLEROS PLY 21MM COMBI 1,220 X 2,440 - BG	0,06251280	42,0000	ATIVO
ACB1015	1,250	2,500	15	TABLEROS PLY		 - BG	TABLEROS PLY 15MM 1,250 X 2,500 - BG	0,04687500	60,0000	ATIVO
ACB2016	1,200	2,400	18	TABLEROS PLY	T&G2	 - BG	TABLEROS PLY 18MM T&G2 1,200 X 2,400 - BG	0,05184000	50,0000	ATIVO
ACB992	1,220	2,440	22	TABLEROS PLY	EUCA C+/C CE4	 - BG	TABLEROS PLY 22MM EUCA C+/C CE4 1,220 X 2,440 - BG	0,06548960	42,0000	ATIVO
ACB1040	1,220	2,440	18	TABLEROS PLY	COMBI CDX	 - BG	TABLEROS PLY 18MM COMBI CDX 1,220 X 2,440 - BG	0,05358240	50,0000	ATIVO
ACB0297	1,220	2,440	20	TABLEROS PLY	COMBI C+/C CE4	 - BG	TABLEROS PLY 20MM COMBI C+/C CE4 1,220 X 2,440 - BG	0,05953600	42,0000	ATIVO
ACB994	1,220	2,440	21	TABLEROS PLY	EUCA	 - BG	TABLEROS PLY 21MM EUCA 1,220 X 2,440 - BG	0,06251280	42,0000	ATIVO
ACB0868	1,250	2,500	12	TABLEROS PLY	EUCA	 - SG	TABLEROS PLY 12MM EUCA 1,250 X 2,500 - SG	0,03750000	75,0000	ATIVO
